TITLE,AUTHOR,DESCRIPTION,IMAGE_URL
Our 12 Favorite Photography Books of 2021,WIRED Photo Department,"From border politics to vintage NASA gear, these are the photo books that best document the WIRED world.","https://media.wired.com/photos/61bdf9dd25d1ed256cb49047/191:100/w_2580,c_limit/Photo-Book-Roundup-2021-2.jpg"
I’m Going Into Politics. What Should I Wear?,Vanessa Friedman,A reader wants to make an impression with their fashion choices as they navigate a career change.,https://static01.nyt.com/images/2022/01/07/lens/07OpenThread2/merlin_199270416_cac1dc23-1e46-4c6b-a26f-3277f20b6e3f-facebookJumbo.jpg
Gillian Laub’s Divided House Is Still Standing. What About Yours?,Yinka Elujoba,“Family Matters” at the ICP captures the inevitability of families fractured over politics.,https://static01.nyt.com/images/2021/12/26/arts/26Laub-10/26Laub-10-facebookJumbo.jpg
First They Fought About Masks. Then Over the Soul of the City.,Sabrina Tavernise,"In Enid, Okla., pandemic politics prompted a fundamental question: What does it mean to be an American? Whose version of the country will prevail?",https://static01.nyt.com/images/2021/12/25/us/25ENID-OKLAHOMA-2-retoned/25ENID-OKLAHOMA-2-retoned-facebookJumbo.jpg
Middle Age Doesn’t Happen ‘Just Like That’,Rhonda Garelick,Why is the “Sex and the City” reboot populated by adults who seem perplexed by everything from politics to their own bodies?,https://static01.nyt.com/images/2022/01/06/fashion/05SATC-bed/05SATC-bed-facebookJumbo.jpg
Democrats Say They Are Serious About State Elections. But Are They Too Late?,Blake Hounshell,State-level races are becoming a central focus of American politics as the lasting effects of new congressional maps and election laws raise the stakes.,https://static01.nyt.com/images/2021/12/22/us/politics/00states-1/00states-1-facebookJumbo.jpg
First They Fought About Masks. Then Over the Soul of the City.,Sabrina Tavernise,"In Enid, Okla., pandemic politics prompted a fundamental question: What does it mean to be an American? Whose version of the country will prevail?",https://static01.nyt.com/images/2021/12/25/us/25ENID-OKLAHOMA-2-retoned/25ENID-OKLAHOMA-2-retoned-facebookJumbo.jpg
The Most Powerful ‘Daily’ Episodes From 2021,,"In a volatile year again dominated by politics and the pandemic, “The Daily” sought out personal stories. Here’s a look back on the episodes that our team can’t forget.",https://static01.nyt.com/images/2021/12/14/lens/YIP2021-DECEMBER3/YIP2021-DECEMBER3-facebookJumbo-v2.jpg
Politics,The Economist,,https://www.economist.com/img/b/1280/720/90/sites/default/files/images/print-edition/20220108_WWP002_0.jpg
Politics,The Economist,,https://www.economist.com/img/b/1280/720/90/sites/default/files/images/print-edition/20220108_WWP002_0.jpg
Politics,The Economist,,https://www.economist.com/img/b/1280/720/90/sites/default/files/images/print-edition/20220115_WWP001_0.jpg
The politics of 2021 – in pictures,Stefan Rousseau for the Press Association,"Stefan Rousseau, the Press Association’s chief political photographer, reflects on his year in pictures Continue reading...",https://i.guim.co.uk/img/media/4a27bfed567df0af6c035eadfe0dd73fdbb5f68c/488_256_1880_1128/master/1880.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=33a16e2c26b2d0a4b6b81cde5242b076
Jordan MPs back constitutional reforms to revitalise politics - Reuters,,"Jordan's parliament on Thursday approved government-backed constitutional reforms intended to revitalise the country's stagnant political life, although some opposition deputies slammed the changes as incapable of strengthening democracy.",https://www.reuters.com/resizer/yRF9NsErpn_aVUAV2jrklGVxHPU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6L6OHYX2AFLWPKYBP3RXNG6N7Y.jpg
Gary Neville joins Labour and considers move into politics,Mark BrownNorth of England correspondent,"Some have speculated he may run to succeed Andy Burnham as mayor of Greater ManchesterGary Neville, the footballer turned TV pundit, hotelier, property developer and university founder, has joined the Labour party and has not definitively ruled out a future c…",https://i.guim.co.uk/img/media/8c7195294808b7e007ea653fd652ec10d1110ee0/0_15_1987_1193/master/1987.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=e3742cb4240f4ab0c48cb64ce86783dc
Twitter permanently bans news aggregation service Politics For All,Jim Waterson Media editor,"Spokesperson says account ‘suspended for violating rules on platform manipulation and spam’Twitter has permanently banned the popular news aggregation service Politics For All, in a sign of how the social media platform has substantial power to deprive news o…",https://i.guim.co.uk/img/media/60d8f0bfd967058361b1bc3ae5ba1ea9515809cf/0_166_4999_3001/master/4999.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=d1ca2f603b02fd530da71b7eb8930b81
The Observer view on UK politics in 2022 | Observer editorial,Observer editorial,"It’s too early to write off Boris Johnson, but the prime minister is definitely on the ropesThe contrast between the upbeat tone of the prime minister’s new year message and the political cloud hanging over him as he goes into 2022 could not be starker. Boris…",https://i.guim.co.uk/img/media/94d2a58684eee14bb778995bcd9c85c556623ad0/0_42_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=3bde5921bec86201ace3b35bbe89cf91
TechScape: Inside the rise and fall of Politics For All,Jim Waterson,"In this week’s newsletter: before it was banned, Politics For All’s emoji-laden tweets were reaching millions of followers – and the UK government - by manipulating the perverse incentives of social media<ul><li>Don’t get TechScape delivered to your inbox? Si…",https://i.guim.co.uk/img/media/2348de6427e3f17e7d66326e35f9960051683cd3/0_37_3500_2101/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=150cf27dd3acb83e39f34c4ef82a09fd
